date,value
2024-03-25,254348042625
2024-08-12,28827644048
2024-08-13,38795450616
2024-08-14,19159105228
2024-08-15,1673168824
2024-08-16,4910140632
2024-08-19,35931461993
2024-08-20,17978515532
2024-08-21,171014560
2024-08-22,169558256
2024-08-23,21617762328
2024-08-24,22505195844
2024-08-25,1046308684
2024-08-31,612964499
2024-09-01,12805409388
2024-09-02,117426645272
2024-09-03,134777015916
2024-09-04,14177761092
2024-09-05,249719658448
2024-09-06,26417923028
2024-09-07,147753460
2024-09-08,125044648
2024-09-09,11109645140
2024-09-10,11076953392
2024-09-11,41186604392
2024-09-12,37206297220
2024-09-13,26989492412
2024-09-14,22894377312
2024-09-15,17823023572
2024-09-16,48809348282
2024-09-17,7418723466
2024-09-18,37873421440
2024-09-19,88008732680
2024-09-20,218969332188
2024-09-21,3135682416
2024-09-22,121966123
2024-09-23,2075220775
2024-09-24,149128680814487
2024-09-25,167066899333275
2024-09-26,157735957976291
2024-09-27,155534822263896
2024-09-28,192696430124656
2024-09-29,184195471975722
2024-09-30,157948720059093
2024-10-01,162716785354592
2024-10-02,148813420981294
2024-10-03,147225049637232
2024-10-04,158284110727207
2024-10-05,184498616686085
2024-10-06,181522100526372
2024-10-07,150838658500298
2024-10-08,150582959363717
2024-10-09,125791557948730
2024-10-10,152460831337022
2024-10-11,163745313263419
2024-10-12,53122333733060
2024-12-23,24265114760402